Generacion_t,Umbral_Tau,H_Colapso_Autogeno,H_Regulada_DualClone,Delta_Deformacion_KL_Pura,Estatus_Clon2,Fuerza_Inyeccion_C2
0,0.8,1.5,1.9507156455111476,inf,ACTIVA,1.13767308684606
1,0.8,1.3888888888888888,2.379159561303535,inf,ACTIVA,1.0629511715860882
2,0.8,1.293103448275862,2.7432841295022112,inf,ACTIVA,0.9742773123340542
3,0.8,1.2096774193548387,3.0390974644387656,inf,ACTIVA,0.88484055467141
4,0.8,1.1363636363636362,3.3078566736831054,inf,ACTIVA,0.8033612358385648
5,0.8,1.0714285714285714,3.5613673086336486,inf,ACTIVA,0.7237515681596303
6,0.8,1.0135135135135136,3.765660537912553,inf,ACTIVA,0.6453528576857266
7,0.8,0.9615384615384615,3.9125357514747923,inf,ACTIVA,0.5811015076707889
8,0.8,0.9146341463414633,4.043641963833405,inf,ACTIVA,0.5349740551219244
9,0.8,0.872093023255814,4.181579012292703,inf,ACTIVA,0.4942342323409167
